code,entity,attribute,event type
C000,company,legalName,U
C001,company,ateco,"A, U, R"
C002,company,legalForms,U
C003,company,active,"A, U, R"
C004,company,description,"A, U, R, S"
C005,company,phones,"A, U, R, S"
C006,company,registeredAddress,"A, U, R"
C007,company,balanceSheets,"A, U, R"
C008,company,websites,"A, U, R, S"
C009,company,emails,"A, U, R, S"
C010,company,activityStatus,"A, U, R"
C011,company,pec,U
C012,company,locations,"A, R"
C013,company,people,"A, U, R"
C014,company,shareholders,"A, U, R"
C015,company,capitalStock,"U, R"
C016,company,inGroup,"A, U, R"
C017,company,entities,"A, U, R"
C018,company,startup,U
C019,company,socials.score,"A, U, R"
C020,company,technologies.cms,"A, U, R"
C021,company,technologies.blog,"A, U, R"
C022,company,technologies.marketing,"A, U, R"
C023,company,technologies.ecommerce,"A, U, R"
C024,company,technologies.analytics,"A, U, R"
C025,company,technologies.advertising,"A, U, R"
C026,company,technologies.payments,"A, U, R"
C027,company,technologies.wiki,"A, U, R"
C028,company,socials.facebook,"A, U, R"
C029,company,socials.twitter,"A, U, R"
C030,company,socials.linkedin,"A, R"
C031,company,socials.instagram,"A, R"
C032,company,socials.youtube,"A, R"
C033,company,socials.vimeo,"A, R"
C034,company,socials.flickr,"A, R"
C035,company,socials.googleplus,"A, R"
C036,company,cervedIndicators.cgs,"A, U, R"
C037,company,cervedIndicators.negativities,U
C038,company,estimatedRevenue,"A, U, R"
C039,company,employees,"A, U, R"
C040,company,web.languages,"A, R"
C999,company,-,"A, R"
P000,person,taxId,"A, U, R"
P001,person,givenName,"A, U, R"
P002,person,familyName,"A, U, R"
P003,person,companies,"A, U, R"
P004,person,sharesOwned,"A, U, R"
P005,person,beneficialOwnerOf,"A, U, R"
P006,person,residenceAddress,"A, U, R"
P007,person,socials.twitter,"A, R"
P008,person,socials.facebook,"A, R"
P009,person,socials.linkedin,"A, R"
P010,person,emails,"A, R, S"
P011,person,socials.picture,"A, R, S"
P012,person,birthDate,"A, U, R"
P013,person,birthPlace,"A, U, R"
P014,person,cervedIndicators.negativities,U
P999,person,-,"A, R"